AÑO VIGENCIA,TOTAL_MOVILIZADO
2018,1629.9796361206068
2019,1682.16284490314
2020,1776.099580122782
2021,1660.5853370414948
2022,1597.5963917160125
2023,1647.008538849075
2024,1685.0288234025818
2025,1714.8313362428732
