Modelo,Set,MAE,RMSE,MAPE,nRMSE,R2
M0 - Promedio zona-mes,VAL_TEMPORAL,183047.7022921109,305822.3602931006,59.61279597666562,23.08925785946459,0.9425520981899481
M1 - Reg. Lineal,TRAIN,884146.4051158463,1076184.4176822093,2137.182240391454,85.90223511192177,0.2938789567893991
M1 - Reg. Lineal,VAL_TEMPORAL,824750.3782138055,984642.9812441609,904.9619410393285,74.33948149399356,0.40448421329978357
M2A - RF n=50  prof=5,TRAIN,136838.31909969132,249934.83796617368,68.14434116115497,19.950076270264557,0.9619145275939064
M2A - RF n=50  prof=5,VAL_TEMPORAL,198042.1788377807,311685.5055874762,77.27589677571451,23.531918995947873,0.9403282309849643
M2B - RF n=100 prof=8,TRAIN,86115.08071786677,155463.66128345078,34.84035579659451,12.409282055665956,0.9852645454230217
M2B - RF n=100 prof=8,VAL_TEMPORAL,193927.74255849747,313952.00292421394,120.8087409239421,23.703037096650426,0.9394572399382372
M2C - RF n=100 sin límite,TRAIN,53881.45519163763,99529.38514920883,22.01043995674057,7.944546030545718,0.9939603969255915
M2C - RF n=100 sin límite,VAL_TEMPORAL,199500.9050373134,324328.2533722314,118.61850420042468,24.486432797275608,0.9353891780043393
