ZONA PORTUARIA,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA,TOTAL_MOVILIZADO,FECHA,PERIODO_NUM,BALANCE_EXP_IMP,TRIMESTRE,AÑO_INCOMPLETO
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,CARBON AL GRANEL,39494,0,0,0,0,0,0,0,2022,11,39494,2022-11-01,58,39494,4,0
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,CARBON AL GRANEL,52745,0,0,0,0,0,0,0,2019,2,52745,2019-02-01,13,52745,1,0
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,PUBLICO,GENERAL,0,670,0,0,0,0,0,0,2021,9,670,2021-09-01,44,-670,3,0
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,GRANEL LIQUIDO,0,26542,0,0,0,0,0,0,2023,10,26542,2023-10-01,69,-26542,4,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,236047,0,0,0,0,0,0,0,2022,8,236047,2022-08-01,55,236047,3,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,GRANEL LIQUIDO,4001,10027,0,0,0,0,0,0,2024,1,14028,2024-01-01,72,-6026,1,0
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,PUBLICO,GRANEL LIQUIDO,0,0,0,0,0,2864,0,0,2021,9,2864,2021-09-01,44,0,3,0
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,0,17500,0,0,0,0,0,0,2025,7,17500,2025-07-01,90,-17500,3,0
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,PUBLICO,GRANEL LIQUIDO,0,55679,0,0,0,0,0,0,2023,5,55679,2023-05-01,64,-55679,2,0
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CONTENEDORES,17420,15589,4053,27393,0,0,0,0,2020,12,64455,2020-12-01,35,1831,4,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,CARBON AL GRANEL,48961,0,0,0,0,0,0,0,2022,6,48961,2022-06-01,53,48961,2,0
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GENERAL,3000,0,0,0,0,356,0,0,2024,2,3356,2024-02-01,73,3000,1,0
CARTAGENA,PRIMAX COLOMBIA S.A,PRIVADO,GRANEL LIQUIDO,0,0,0,0,160,0,0,0,2023,5,160,2023-05-01,64,0,2,0
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,CONTENEDORES,23,670,0,0,0,0,0,0,2022,6,693,2022-06-01,53,-647,2,0
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,PRIVADO,GRANEL LIQUIDO,52705,0,0,0,0,0,0,0,2020,8,52705,2020-08-01,31,52705,3,0
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GRANEL LIQUIDO,11471,16685,0,0,0,18073,0,0,2023,2,46229,2023-02-01,61,-5214,1,0
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,769,0,0,2018,7,769,2018-07-01,6,0,3,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,GRANEL LIQUIDO,25254,8500,0,0,0,0,0,0,2022,5,33754,2022-05-01,52,16754,2,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,8635,0,0,0,2608,0,0,2021,6,11243,2021-06-01,41,-8635,2,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,CONTENEDORES,31399,22597,498,0,0,0,0,0,2022,6,54494,2022-06-01,53,8802,2,0
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,GENERAL,10,36,0,0,0,0,0,0,2018,5,46,2018-05-01,4,-26,2,0
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,GRANEL LIQUIDO,0,28119,0,0,0,0,0,0,2020,3,28119,2020-03-01,26,-28119,1,0
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,CARBON AL GRANEL,16500,0,0,0,0,0,0,0,2023,7,16500,2023-07-01,66,16500,3,0
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,55742,96719,0,0,0,0,0,0,2021,2,152461,2021-02-01,37,-40977,1,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,1681532,0,0,0,0,0,0,0,2019,12,1681532,2019-12-01,23,1681532,4,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,103806,0,0,0,0,0,0,0,2024,7,103806,2024-07-01,78,103806,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,0,15004,0,0,0,0,0,0,2018,8,15004,2018-08-01,7,-15004,3,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,684271,0,0,0,0,0,0,0,2019,1,684271,2019-01-01,12,684271,1,0
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,132,0,0,0,2020,3,132,2020-03-01,26,0,1,0
GUAJIRA,PUERTO BRISA S.A.,PUBLICO,CARBON AL GRANEL,210546,0,0,0,0,0,0,0,2023,7,210546,2023-07-01,66,210546,3,0
CARTAGENA,PRIMAX COLOMBIA S.A,PRIVADO,GRANEL LIQUIDO,0,0,0,0,130,0,0,0,2022,8,130,2022-08-01,55,0,3,0
CIENAGA,AMERICAN PORT COMPANY INC,PRIVADO,CARBON AL GRANEL,2147567,0,0,0,0,0,0,0,2019,1,2147567,2019-01-01,12,2147567,1,0
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,107381,0,0,0,2023,11,107381,2023-11-01,70,0,4,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,29373,0,0,0,0,0,0,2021,5,29373,2021-05-01,40,-29373,2,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CONTENEDORES,56512,69265,366,168,0,0,0,196,2024,8,126507,2024-08-01,79,-12753,3,0
