ZONA PORTUARIA,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA,TOTAL_MOVILIZADO,FECHA,PERIODO_NUM,BALANCE_EXP_IMP,TRIMESTRE,AÑO_INCOMPLETO
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CARBON AL GRANEL,0,78005,0,0,0,0,0,0,2021,10,78005,2021-10-01,45,-78005,4,0
CIENAGA,AMERICAN PORT COMPANY INC,PRIVADO,CARBON AL GRANEL,1219377,0,0,0,0,0,0,0,2023,4,1219377,2023-04-01,63,1219377,2,0
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,37039,0,0,0,0,0,0,2021,11,37039,2021-11-01,46,-37039,4,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,113356,40978,0,0,0,0,0,0,2022,2,154334,2022-02-01,49,72378,1,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,CONTENEDORES,26572,17807,518,0,0,63,0,0,2018,1,44960,2018-01-01,0,8765,1,0
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GRANEL LIQUIDO,0,76144,0,0,0,0,0,0,2021,12,76144,2021-12-01,47,-76144,4,0
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,GENERAL,59,78,0,0,0,0,0,0,2021,1,137,2021-01-01,36,-19,1,0
BARRANQUILLA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,12281,7940,0,0,0,0,0,999,2019,6,21220,2019-06-01,17,4341,2,0
CARTAGENA,ALGRANEL S.A.,PUBLICO,GRANEL LIQUIDO,0,23304,0,0,0,0,0,0,2023,5,23304,2023-05-01,64,-23304,2,0
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,3928,0,0,2021,8,3928,2021-08-01,43,0,3,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,CONTENEDORES,0,323,0,0,0,0,0,0,2020,3,323,2020-03-01,26,-323,1,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,5573,0,0,0,2802,0,0,2018,5,8375,2018-05-01,4,-5573,2,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,60955,0,0,0,0,0,0,0,2018,12,60955,2018-12-01,11,60955,4,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,93798,50998,0,0,0,0,0,0,2025,7,144796,2025-07-01,90,42800,3,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CONTENEDORES,50219,114484,0,0,0,7764,0,0,2020,3,172467,2020-03-01,26,-64265,1,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CONTENEDORES,99556,262928,0,0,0,14602,0,0,2024,2,377086,2024-02-01,73,-163372,1,0
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,PUBLICO,GRANEL LIQUIDO,34605,0,0,0,0,0,0,0,2020,5,34605,2020-05-01,28,34605,2,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,2986,0,0,0,0,0,0,2020,12,2986,2020-12-01,35,-2986,4,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,0,18235,0,0,2019,12,18235,2019-12-01,23,0,4,0
TURBO,UNIBAN LOGISTICA S.A,PUBLICO,GENERAL,16335,54,0,0,0,0,0,0,2022,6,16389,2022-06-01,53,16281,2,0
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,CONTENEDORES,0,502,0,0,0,0,0,0,2018,8,502,2018-08-01,7,-502,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,PRIVADO,GENERAL,0,7000,0,0,0,0,0,0,2021,4,7000,2021-04-01,39,-7000,2,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,0,0,0,0,5313,0,0,2018,9,5313,2018-09-01,8,0,3,0
GUAJIRA,PUERTO BRISA S.A.,PUBLICO,CONTENEDORES,0,116,0,0,0,0,0,0,2022,9,116,2022-09-01,56,-116,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,94774,0,0,0,0,0,0,0,2020,4,94774,2020-04-01,27,94774,2,0
CARTAGENA,COREMAR SHOREBASE SA,PUBLICO,GRANEL LIQUIDO,0,0,0,0,39,0,0,0,2021,9,39,2021-09-01,44,0,3,0
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,PUBLICO,GRANEL LIQUIDO,5104,32675,0,0,0,10118,0,0,2025,8,47897,2025-08-01,91,-27571,3,0
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,917,31625,0,0,0,0,0,0,2022,6,32542,2022-06-01,53,-30708,2,0
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,CONTENEDORES,0,0,0,0,677,0,0,0,2021,5,677,2021-05-01,40,0,2,0
CARTAGENA,PUERTO DE MAMONAL S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,104500,51000,0,0,0,0,0,0,2021,8,155500,2021-08-01,43,53500,3,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,4653,112537,0,0,0,0,0,0,2020,3,117190,2020-03-01,26,-107884,1,0
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,4954,0,0,2022,4,4954,2022-04-01,51,0,2,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,1681268,0,0,0,0,0,0,0,2018,8,1681268,2018-08-01,7,1681268,3,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,32858,0,0,0,0,0,0,2019,7,32858,2019-07-01,18,-32858,3,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GENERAL,52,74604,0,0,0,0,0,0,2024,8,74656,2024-08-01,79,-74552,3,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,CARBON AL GRANEL,22000,0,0,0,0,0,0,0,2019,8,22000,2019-08-01,19,22000,3,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,CARBON AL GRANEL,162818,0,0,0,0,0,0,0,2023,5,162818,2023-05-01,64,162818,2,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,17,0,0,0,2905,0,0,2021,1,2922,2021-01-01,36,-17,1,0
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GRANEL LIQUIDO,0,39670,0,0,0,0,0,0,2019,1,39670,2019-01-01,12,-39670,1,0
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,CARBON AL GRANEL,39646,0,0,0,0,0,0,0,2019,7,39646,2019-07-01,18,39646,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,132726,0,0,0,0,0,0,2018,11,132726,2018-11-01,10,-132726,4,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,2193,0,0,0,0,0,0,2021,8,2193,2021-08-01,43,-2193,3,0
BARRANQUILLA,PORTMAGDALENA S.A.,PUBLICO,GRANEL LIQUIDO,0,14020,0,0,0,13673,0,0,2018,9,27693,2018-09-01,8,-14020,3,0
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,PUBLICO,GRANEL LIQUIDO,0,65216,0,0,0,0,0,0,2025,3,65216,2025-03-01,86,-65216,1,0
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,771,0,0,2021,6,771,2021-06-01,41,0,2,0
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,PUBLICO,GENERAL,0,2311,0,0,0,0,0,0,2018,8,2311,2018-08-01,7,-2311,3,0
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,19570,0,0,0,0,0,0,2023,4,19570,2023-04-01,63,-19570,2,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GENERAL,0,39601,0,0,0,0,0,0,2020,11,39601,2020-11-01,34,-39601,4,0
GUAJIRA,PUERTO BRISA S.A.,PUBLICO,CARBON AL GRANEL,127619,0,0,0,0,0,0,0,2023,2,127619,2023-02-01,61,127619,1,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,64896,0,0,0,0,0,0,0,2018,1,64896,2018-01-01,0,64896,1,0
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,CONTENEDORES,120943,113309,498582,0,0,53660,0,0,2025,7,786494,2025-07-01,90,7634,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,7239,0,0,0,0,0,0,0,2019,9,7239,2019-09-01,20,7239,3,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,CONTENEDORES,396,1260,0,26,0,6775,0,0,2021,5,8457,2021-05-01,40,-864,2,0
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,127,0,0,0,2018,10,127,2018-10-01,9,0,4,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,275890,0,0,0,0,0,0,0,2022,10,275890,2022-10-01,57,275890,4,0
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,3229,0,0,2020,8,3229,2020-08-01,31,0,3,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CONTENEDORES,70202,204193,0,0,0,5045,0,0,2022,1,279440,2022-01-01,48,-133991,1,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,103117,0,0,0,0,0,0,0,2021,7,103117,2021-07-01,42,103117,3,0
CIENAGA,AMERICAN PORT COMPANY INC,PRIVADO,CARBON AL GRANEL,2833825,0,0,0,0,0,0,0,2020,4,2833825,2020-04-01,27,2833825,2,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,85,0,0,0,5332,0,0,2022,5,5417,2022-05-01,52,-85,2,0
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,3360,0,0,0,0,2838,0,0,2019,8,6198,2019-08-01,19,3360,3,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,234594,0,0,0,0,0,0,2023,11,234594,2023-11-01,70,-234594,4,0
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,4381,0,0,2020,7,4381,2020-07-01,30,0,3,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,34142,0,0,0,0,0,0,2023,4,34142,2023-04-01,63,-34142,2,0
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,PRIVADO,GRANEL LIQUIDO,2500,5001,0,0,0,0,0,0,2024,2,7501,2024-02-01,73,-2501,1,0
CARTAGENA,ATUNAMAR LIMITADA,PRIVADO,GENERAL,0,0,0,0,0,5121,0,0,2019,6,5121,2019-06-01,17,0,2,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,220106,0,0,0,0,0,0,0,2025,7,220106,2025-07-01,90,220106,3,0
CARTAGENA,PUERTO DE MAMONAL S.A.,PUBLICO,CONTENEDORES,11,92,0,0,0,0,0,0,2018,9,103,2018-09-01,8,-81,3,0
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,CONTENEDORES,158525,253653,1424355,0,0,69463,0,0,2020,3,1905996,2020-03-01,26,-95128,1,0
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,0,78,190,0,0,0,0,0,2021,2,268,2021-02-01,37,-78,1,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,20049,0,0,0,0,0,0,2020,2,20049,2020-02-01,25,-20049,1,0
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,105611,0,0,0,0,0,0,2025,3,105611,2025-03-01,86,-105611,1,0
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,PUBLICO,GRANEL LIQUIDO,0,7911,0,0,0,0,0,0,2019,11,7911,2019-11-01,22,-7911,4,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,291928,0,0,0,0,0,0,0,2025,8,291928,2025-08-01,91,291928,3,0
CARTAGENA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,0,2994,0,0,0,0,0,0,2020,6,2994,2020-06-01,29,-2994,2,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,9961,0,0,0,0,0,0,2020,5,9961,2020-05-01,28,-9961,2,0
CARTAGENA,PUERTO DE MAMONAL S.A.,PUBLICO,GRANEL LIQUIDO,10139,0,0,0,0,0,0,0,2021,3,10139,2021-03-01,38,10139,1,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,211782,0,0,0,0,0,0,2018,5,211782,2018-05-01,4,-211782,2,0
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,1492,0,0,2022,4,1492,2022-04-01,51,0,2,0
TURBO,PROMOTORA BANANERA S.A,PUBLICO,CONTENEDORES,5267,0,0,0,0,3494,0,0,2019,9,8761,2019-09-01,20,5267,3,0
CARTAGENA,PUERTO DE MAMONAL S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,83442,0,0,0,0,0,0,0,2022,12,83442,2022-12-01,59,83442,4,0
BARRANQUILLA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,10000,14878,0,0,0,0,0,0,2018,10,24878,2018-10-01,9,-4878,4,0
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,PUBLICO,GENERAL,0,0,0,0,0,9598,0,0,2022,4,9598,2022-04-01,51,0,2,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CONTENEDORES,45692,39740,64,143,0,0,0,348,2024,9,85987,2024-09-01,80,5952,3,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,70,0,0,0,3075,0,0,2022,1,3145,2022-01-01,48,-70,1,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,78383,0,0,0,0,0,0,0,2021,7,78383,2021-07-01,42,78383,3,0
G. MORROSQUILLO,OLEODUCTO CENTRAL S.A.,PUBLICO,GRANEL LIQUIDO,1420376,0,0,0,0,0,0,0,2020,11,1420376,2020-11-01,34,1420376,4,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,30,0,0,0,4680,0,0,2023,11,4710,2023-11-01,70,-30,4,0
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,0,6548,0,0,0,0,0,0,2018,12,6548,2018-12-01,11,-6548,4,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,12773,0,0,0,0,0,0,0,2020,6,12773,2020-06-01,29,12773,2,0
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,CARBON AL GRANEL,54409,0,0,0,0,0,0,0,2023,11,54409,2023-11-01,70,54409,4,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,100589,0,0,0,0,0,0,2023,11,100589,2023-11-01,70,-100589,4,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GRANEL LIQUIDO,0,6281,0,0,0,18255,0,0,2021,6,24536,2021-06-01,41,-6281,2,0
TURBO,PROMOTORA BANANERA S.A,PUBLICO,GENERAL,623,0,0,0,0,0,0,0,2021,6,623,2021-06-01,41,623,2,0
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,55852,0,0,0,0,0,0,2021,2,55852,2021-02-01,37,-55852,1,0
CARTAGENA,ALGRANEL S.A.,PUBLICO,GRANEL LIQUIDO,1700,9723,0,0,0,0,0,0,2021,1,11423,2021-01-01,36,-8023,1,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,189943,0,0,0,0,0,0,2021,3,189943,2021-03-01,38,-189943,1,0
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CONTENEDORES,18162,11611,0,879,0,0,0,54,2023,9,30706,2023-09-01,68,6551,3,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,18483,0,0,0,0,0,0,2022,1,18483,2022-01-01,48,-18483,1,0
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,104566,0,0,0,0,0,0,2020,2,104566,2020-02-01,25,-104566,1,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,5283,0,0,0,2725,0,0,2019,6,8008,2019-06-01,17,-5283,2,0
BARRANQUILLA,ATUNAMAR LIMITADA,PRIVADO,GENERAL,0,0,0,0,0,3920,0,0,2018,7,3920,2018-07-01,6,0,3,0
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,PUBLICO,GRANEL LIQUIDO,0,44892,0,0,0,0,0,0,2023,11,44892,2023-11-01,70,-44892,4,0
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,CONTENEDORES,151530,239707,541963,0,0,0,0,0,2018,6,933200,2018-06-01,5,-88177,2,0
BARRANCABERMEJA,ECOPETROL S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,91508,0,0,0,2022,3,91508,2022-03-01,50,0,1,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,5508,23851,0,0,2276,0,0,0,2020,7,31635,2020-07-01,30,-18343,3,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,115945,53252,0,0,0,3845,0,0,2023,1,173042,2023-01-01,60,62693,1,0
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,55158,0,0,0,0,0,0,2022,2,55158,2022-02-01,49,-55158,1,0
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,0,6805,0,0,0,0,0,0,2018,11,6805,2018-11-01,10,-6805,4,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,29290,0,0,0,0,0,0,2020,1,29290,2020-01-01,24,-29290,1,0
TURBO,UNIBAN LOGISTICA S.A,PUBLICO,CONTENEDORES,39014,2855,0,0,0,8105,0,0,2022,8,49974,2022-08-01,55,36159,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,64498,0,0,0,0,0,0,2018,2,64498,2018-02-01,1,-64498,1,0
BARRANCABERMEJA,ECOPETROL S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,118049,0,0,0,2021,10,118049,2021-10-01,45,0,4,0
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,PUBLICO,GENERAL,0,2615,0,0,0,0,0,0,2019,10,2615,2019-10-01,21,-2615,4,0
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GENERAL,0,111546,0,0,0,0,0,0,2023,1,111546,2023-01-01,60,-111546,1,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,48900,0,0,0,0,0,0,0,2025,8,48900,2025-08-01,91,48900,3,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CONTENEDORES,114506,303163,0,0,0,22388,0,0,2025,7,440057,2025-07-01,90,-188657,3,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,78210,0,0,0,0,0,0,0,2025,3,78210,2025-03-01,86,78210,1,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,CARBON AL GRANEL,10695,0,0,0,0,0,0,0,2021,12,10695,2021-12-01,47,10695,4,0
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,PUBLICO,GENERAL,0,0,0,0,0,8804,0,0,2023,4,8804,2023-04-01,63,0,2,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,216635,0,0,0,0,0,0,0,2024,3,216635,2024-03-01,74,216635,1,0
CIENAGA,AMERICAN PORT COMPANY INC,PRIVADO,CARBON AL GRANEL,2050339,0,0,0,0,0,0,0,2023,11,2050339,2023-11-01,70,2050339,4,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CARBON AL GRANEL,93502,0,0,0,0,0,0,0,2021,2,93502,2021-02-01,37,93502,1,0
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,CONTENEDORES,209310,229882,1383832,0,0,17178,0,0,2025,7,1840202,2025-07-01,90,-20572,3,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,21886,0,0,0,0,0,0,2018,2,21886,2018-02-01,1,-21886,1,0
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,PUBLICO,CONTENEDORES,35140,88732,65889,0,0,776,0,0,2018,12,190537,2018-12-01,11,-53592,4,0
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,PUBLICO,GRANEL LIQUIDO,0,5134,0,0,0,0,0,0,2023,8,5134,2023-08-01,67,-5134,3,0
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CONTENEDORES,22788,34770,0,46801,0,0,0,0,2025,8,104359,2025-08-01,91,-11982,3,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,13312,0,0,0,0,0,0,2018,8,13312,2018-08-01,7,-13312,3,0
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,CARBON AL GRANEL,137854,0,0,0,0,0,0,0,2020,10,137854,2020-10-01,33,137854,4,0
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,PUBLICO,GRANEL LIQUIDO,0,3934,0,0,0,30935,0,0,2018,6,34869,2018-06-01,5,-3934,2,0
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,769,0,0,2018,6,769,2018-06-01,5,0,2,0
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,10447,0,0,0,0,0,0,2018,6,10447,2018-06-01,5,-10447,2,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,4951,0,0,0,0,0,0,2018,6,4951,2018-06-01,5,-4951,2,0
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,6979,45304,0,0,0,0,0,0,2022,9,52283,2022-09-01,56,-38325,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,39581,0,0,0,0,0,0,0,2020,7,39581,2020-07-01,30,39581,3,0
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,CARBON AL GRANEL,52800,0,0,0,0,0,0,0,2024,4,52800,2024-04-01,75,52800,2,0
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,128,61,435,0,0,0,0,0,2024,5,624,2024-05-01,76,67,2,0
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,52285,0,0,0,0,0,0,2023,2,52285,2023-02-01,61,-52285,1,0
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,PRIVADO,GRANEL LIQUIDO,799,0,0,0,0,0,0,0,2024,8,799,2024-08-01,79,799,3,0
